Org Code,Org name,Region,Total Attendances,Total Over 4hrs,Pct Within 4hrs,Total Emergency Admissions,Waited 4-12hrs DTA,Waited 12+hrs DTA
RJN,EAST CHESHIRE NHS TRUST,NORTH WEST,4314,2554,40.797403801576266,990,254,384
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,MIDLANDS,13020,6341,51.29800307219662,5886,470,1601
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST,8979,4112,54.20425437131083,5093,1058,328
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH WEST,10651,4640,56.43601539761525,4110,412,1051
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH EAST,14443,6289,56.45641487225645,4750,429,53
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NORTH WEST,7781,3351,56.9335560981879,3196,262,865
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,10449,4383,58.05340223944875,2424,635,603
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,NORTH WEST,11253,4680,58.411090375899754,1892,232,904
RCF,AIREDALE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,6338,2600,58.9775954559798,2240,576,301
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,SOUTH EAST,10530,4258,59.56315289648623,3642,574,424
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,MIDLANDS,23604,9511,59.70598203694289,9469,164,1027
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST,13205,5315,59.750094661113216,6069,318,543
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NORTH EAST AND YORKSHIRE,14254,5723,59.84986670408306,6210,798,856
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,SOUTH WEST,4499,1806,59.85774616581463,2533,229,114
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,SOUTH EAST,11520,4617,59.921875,3629,225,197
RVJ,NORTH BRISTOL NHS TRUST,SOUTH WEST,9077,3607,60.26220116778671,6101,523,564
RWJ,STOCKPORT NHS FOUNDATION TRUST,NORTH WEST,9047,3547,60.793633248590695,3837,655,564
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,MIDLANDS,37179,14547,60.873073509239084,18500,2517,2076
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,SOUTH EAST,30437,11747,61.4055261688077,10693,952,1196
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,MIDLANDS,24624,9403,61.81367771280052,11272,1467,1017
RMC,BOLTON NHS FOUNDATION TRUST,NORTH WEST,11947,4521,62.157863898886745,3801,445,531
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,17527,6569,62.5206823757631,6657,795,930
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,MIDLANDS,21729,8100,62.72262874499517,6374,655,1595
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH WEST,9342,3477,62.78098908156712,2002,499,1063
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,MIDLANDS,18874,7008,62.869556002967045,4111,865,1431
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,MIDLANDS,10957,4060,62.94606187825135,2200,767,628
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST,18302,6765,63.036826576330455,6905,1172,698
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,SOUTH EAST,12084,4458,63.108242303872885,4092,515,783
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,MIDLANDS,22519,8304,63.1244726675252,6035,1062,1264
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,9365,3429,63.38494394020289,3956,915,19
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",EAST OF ENGLAND,8318,2997,63.96970425583073,2348,585,229
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,MIDLANDS,27147,9684,64.32755000552547,6127,1085,1544
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,16579,5904,64.38868448036673,5504,2176,45
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NORTH WEST,9841,3495,64.48531653287267,3515,417,590
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST,16495,5848,64.54683237344649,5395,1073,430
RLQ,WYE VALLEY NHS TRUST,MIDLANDS,7045,2490,64.65578424414478,1666,505,275
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,EAST OF ENGLAND,33725,11890,64.74425500370646,9604,2637,951
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,9772,3420,65.00204666393779,2327,1099,112
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,17745,6202,65.04930966469428,5775,1220,0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST,16801,5842,65.2282602226058,4971,559,807
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",NORTH WEST,12249,4207,65.65433912972487,2312,540,567
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,16692,5687,65.92978672417925,6023,676,1139
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NORTH WEST,11095,3778,65.94862550698512,4232,710,763
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,17305,5882,66.00982375036116,7184,1527,16
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST,18376,6193,66.29843273835438,6773,1077,793
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SOUTH EAST,12612,4227,66.48430066603235,5949,438,11
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NORTH WEST,25692,8572,66.63552856920441,7530,739,1485
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST,11670,3887,66.6923736075407,4057,527,463
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,EAST OF ENGLAND,20367,6752,66.84833308783817,5335,554,1056
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,LONDON,25541,8460,66.87678634352609,3965,1503,1145
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,MIDLANDS,13412,4430,66.96987772144348,2939,407,923
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST,21001,6888,67.20156183038904,5092,839,330
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH WEST,15195,4965,67.32477788746299,4553,1163,523
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST,9558,3123,67.32580037664783,3418,202,106
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND,16313,5328,67.33893214001102,3547,538,729
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,EAST OF ENGLAND,8687,2804,67.72188327385749,2244,473,622
RPA,MEDWAY NHS FOUNDATION TRUST,SOUTH EAST,15128,4863,67.85430988894765,2220,312,869
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,17819,5718,67.91065716370167,5417,1288,339
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,LONDON,13308,4256,68.01923654944395,1690,394,317
RA2,ROYAL SURREY NHS FOUNDATION TRUST,SOUTH EAST,8646,2764,68.03145963451307,3501,543,136
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,SOUTH EAST,35682,11371,68.13239168208061,6731,1272,743
R1F,ISLE OF WIGHT NHS TRUST,SOUTH EAST,5695,1812,68.18261633011413,1545,287,307
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS,8629,2728,68.38567620813537,2454,558,235
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,EAST OF ENGLAND,18000,5645,68.6388888888889,2623,698,334
RKE,WHITTINGTON HEALTH NHS TRUST,LONDON,9222,2870,68.87876816308827,1383,179,376
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,10109,3119,69.14630527252943,1755,1068,12
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,EAST OF ENGLAND,13501,4161,69.18006073624176,2737,935,0
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,MIDLANDS,16632,5104,69.31216931216932,4214,837,689
RNZ,SALISBURY NHS FOUNDATION TRUST,SOUTH WEST,7058,2163,69.35392462453953,2463,434,171
RBK,WALSALL HEALTHCARE NHS TRUST,MIDLANDS,13276,4027,69.66706839409461,4983,1063,729
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,LONDON,14988,4543,69.68908460101414,3380,176,667
RXF,MID YORKSHIRE TEACHING NHS TRUST,NORTH EAST AND YORKSHIRE,22530,6808,69.78251220594763,4358,2350,1038
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,NORTH WEST,36255,10770,70.29375258585023,10009,893,1610
RJ2,LEWISHAM AND GREENWICH NHS TRUST,LONDON,32409,9383,71.04816563300318,4099,1147,943
R1H,BARTS HEALTH NHS TRUST,LONDON,44832,12959,71.09430763740185,5803,1058,1352
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,SOUTH EAST,14924,4306,71.14714553738945,5795,719,1400
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,LONDON,29520,8517,71.14837398373983,6479,802,776
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,MIDLANDS,20515,5912,71.1820619059225,3082,723,645
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,6454,1846,71.3975828943291,1493,422,43
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,SOUTH EAST,13931,3945,71.68186059866485,5654,158,469
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH WEST,40731,11450,71.88873339716679,6790,4363,188
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND,9039,2533,71.97698860493418,2137,577,417
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,MIDLANDS,13681,3812,72.13653972662817,6150,2570,117
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,16430,4539,72.37370663420573,5062,587,58
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,NORTH WEST,24623,6768,72.51350363481298,8379,410,573
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,MIDLANDS,20915,5703,72.73248864451351,1397,46,8
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,LONDON,13411,3643,72.8357318619044,2260,580,913
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,SOUTH EAST,16244,4360,73.15932036444227,2686,336,11
RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON,18733,4963,73.50664602572999,1288,224,814
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,MIDLANDS,8681,2292,73.59751180739546,1159,347,568
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NORTH EAST AND YORKSHIRE,29818,7852,73.66691260312564,4888,1129,1030
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,SOUTH EAST,25163,6536,74.02535468743791,3963,511,1208
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,20646,5304,74.30979366463237,6973,669,26
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,EAST OF ENGLAND,24344,6214,74.47420308905686,5264,674,744
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND,26439,6734,74.53005030447444,8143,82,92
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,SOUTH EAST,20903,5311,74.59216380423864,3087,910,629
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST,17447,4395,74.80942282340803,4053,613,773
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH WEST,18784,4730,74.81899488926746,4410,578,650
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON,22688,5699,74.88099435825106,4655,564,0
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",LONDON,30178,7410,75.44568891245278,5554,540,1361
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,LONDON,43338,10626,75.48110203516545,7476,739,2508
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,LONDON,13000,3132,75.90769230769232,2543,432,697
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,LONDON,16995,4061,76.10473668726095,2423,127,59
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,MIDLANDS,18997,4518,76.21729746802126,7124,838,718
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,LONDON,26947,6265,76.75065870041192,3166,1360,54
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SOUTH EAST,17575,4006,77.20625889046941,10111,620,23
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,LONDON,12107,2736,77.40150326257536,1886,622,34
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NORTH WEST,24861,5608,77.44258074896425,5993,304,1407
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,MIDLANDS,4501,1009,77.58275938680293,913,33,4
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,MIDLANDS,19295,4189,78.28971236071521,2360,614,647
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND,19875,4256,78.58616352201257,3859,652,555
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,LONDON,11326,2399,78.8186473600565,2261,322,36
RN7,DARTFORD AND GRAVESHAM NHS TRUST,SOUTH EAST,15203,3070,79.80661711504308,4008,536,502
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,EAST OF ENGLAND,11421,2254,80.26442518168287,2319,511,322
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,16038,3147,80.37785260007482,4783,353,65
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,EAST OF ENGLAND,16414,3149,80.81515779212867,5330,913,14
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,15944,2970,81.3723030607125,3146,1617,145
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,13580,2145,84.20471281296024,3913,594,83
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,NORTH WEST,6012,823,86.31071190951431,1135,0,0
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,22516,3062,86.40078166637059,4377,99,0
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NORTH WEST,1575,164,89.58730158730158,130,0,0
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,NORTH WEST,2775,281,89.87387387387388,0,0,0
NNF09,BRANSHOLME HEALTH CENTRE,NORTH EAST AND YORKSHIRE,3624,266,92.66004415011038,0,0,0
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,4619,305,93.39683914267157,1158,3,0
NNF94,EAST RIDING COMMUNITY HOSPITAL,NORTH EAST AND YORKSHIRE,2419,138,94.29516329061596,0,0,0
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,LONDON,5617,271,95.17536051272921,234,0,0
NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,SOUTH EAST,4866,227,95.33497739416359,0,0,0
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,MIDLANDS,6814,212,96.88875843850894,0,0,0
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH EAST,3872,118,96.95247933884298,0,0,0
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,LONDON,1623,40,97.53542821934688,0,0,0
RW4,MERSEY CARE NHS FOUNDATION TRUST,NORTH WEST,13161,314,97.61416305751843,42,0,0
DT301,HERTS URGENT CARE (ASCOTS LANE),EAST OF ENGLAND,1941,37,98.09376609994848,0,0,0
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,MIDLANDS,7660,146,98.09399477806788,0,0,0
NNF16,BRIDLINGTON HOSPITAL,NORTH EAST AND YORKSHIRE,1283,23,98.20732657833203,0,0,0
NNJ13,MELTON MOWBRAY,MIDLANDS,59,1,98.30508474576271,0,0,0
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,LONDON,11622,195,98.3221476510067,0,0,0
NNJ15,OAKHAM,MIDLANDS,62,1,98.38709677419355,0,0,0
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,SOUTH EAST,2858,43,98.49545136459062,131,0,0
NLX,SIRONA CARE & HEALTH,SOUTH WEST,7859,116,98.5239852398524,0,0,0
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,SOUTH WEST,1859,27,98.54760623991393,0,0,0
NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,SOUTH EAST,5146,71,98.62028760202098,0,0,0
NNFA7,GOOLE & DISTRICT HOSPITAL,NORTH EAST AND YORKSHIRE,1571,21,98.66327180140038,0,0,0
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,SOUTH WEST,7989,105,98.68569282763801,28,0,0
NTV0B,ASHFORD WALK-IN-CENTRE,SOUTH EAST,2350,28,98.80851063829788,0,0,0
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,SOUTH EAST,11207,126,98.87570268582137,0,0,0
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NORTH WEST,3061,33,98.921920940869,0,0,0
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,SOUTH EAST,1325,14,98.94339622641509,34,0,0
NQT1I,CHIPPENHAM COMMUNITY HOSPITAL,SOUTH WEST,1504,14,99.06914893617021,0,0,0
NTV0W,WOKING WALK IN CENTRE,SOUTH EAST,2724,22,99.19236417033774,0,0,0
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,SOUTH EAST,2236,17,99.23971377459749,0,0,0
NNJ07,LOUGHBOROUGH URGENT CARE CENTRE,MIDLANDS,5147,37,99.28113464153876,0,0,0
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,EAST OF ENGLAND,1040,7,99.32692307692308,0,0,0
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH EAST,6460,38,99.41176470588235,0,0,0
NNJ,DHU HEALTH CARE C.I.C,MIDLANDS,1937,11,99.43211151264842,0,0,0
NNJ0H,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,MIDLANDS,207,1,99.51690821256038,0,0,0
AQN04,PHL LYMINGTON UTC,SOUTH EAST,2705,13,99.51940850277265,0,0,0
NQT5H,PAULTON MEMORIAL HOSPITAL,SOUTH WEST,1043,5,99.52061361457335,0,0,0
K6K0R,HAROLD WOOD POLYCLINIC UTC,LONDON,2911,13,99.55341806939197,0,0,0
G0Q0L,BARKING HOSPITAL UTC,LONDON,2520,10,99.60317460317461,0,0,0
ARN03,LOCAL CARE DIRECT,NORTH EAST AND YORKSHIRE,2462,9,99.6344435418359,0,0,0
NNJ14,OADBY,MIDLANDS,551,2,99.63702359346642,0,0,0
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,SOUTH EAST,1167,4,99.65724078834619,470,0,0
NQT5F,SKELMERSDALE WALK IN CENTRE,NORTH WEST,1552,4,99.74226804123711,0,0,0
AD913,BECKENHAM BEACON UCC,LONDON,3343,7,99.79060723900687,0,0,0
G3P9C,TROWBRIDGE MINOR INJURIES UNIT,SOUTH WEST,1052,2,99.80988593155894,0,0,0
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,MIDLANDS,2888,5,99.82686980609418,0,0,0
AAH,TETBURY HOSPITAL TRUST LTD,SOUTH WEST,589,1,99.830220713073,0,0,0
NV693,ROSSENDALE MIU & OOH,NORTH WEST,854,1,99.88290398126463,0,0,0
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,879,1,99.88623435722411,0,0,0
Y02532,MIRIAM MINOR EMERGENCY,NORTH WEST,1700,0,100.0,0,0,0
C82038,LATHAM HOUSE MEDICAL PRACTICE,MIDLANDS,322,0,100.0,0,0,0
AJN,WORKINGTON HEALTH LIMITED,NORTH EAST AND YORKSHIRE,361,0,100.0,0,0,0
Y02428,PUTNOE WALK IN CENTRE,EAST OF ENGLAND,2871,0,100.0,0,0,0
L83087,OKEHAMPTON MEDICAL CENTRE,SOUTH WEST,62,0,100.0,0,0,0
NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),MIDLANDS,3237,0,100.0,0,0,0
C83023,SLEAFORD MEDICAL GROUP,MIDLANDS,561,0,100.0,3,0,0
AQM01,FAVERSHAM MEDICAL PRACTICE MIU,SOUTH EAST,3162,0,100.0,0,0,0
Y03218,THE PINN UNREGISTERED WIC,LONDON,897,0,100.0,0,0,0
Y02676,BRIGHTON STATION HEALTH CENTRE,SOUTH EAST,1838,0,100.0,0,0,0
C82009,MARKET HARBOROUGH MED.CTR,MIDLANDS,219,0,100.0,0,0,0
NQTE4,SUMMERFIELD URGENT CARE CENTRE,MIDLANDS,2840,0,100.0,0,0,0
NVE43,HASTINGS GP LED HEALTH CENTRE,SOUTH EAST,1059,0,100.0,0,0,0
NNJ12,MARKET HARBOROUGH,MIDLANDS,106,0,100.0,0,0,0
ACH01,WHITSTABLE MEDICAL PRACTICE,SOUTH EAST,4990,0,100.0,0,0,0
DJV01,HERNE BAY HEALTH CARE LTD,SOUTH EAST,2650,0,100.0,0,0,0
Y02615,SOUTH BIRMINGHAM GP WALK IN CENTRE,MIDLANDS,3507,0,100.0,0,0,0
